ID,Address,Name,Latitude,Longitude,Radius,Tags,Notes,Type
36812663,3600 HIGHWAY 77 SOUTH  UNION POINT GA 30669,Gas 633,33.71177,-83.122942,75,,,Normal Geofence
36812664,363 Elm St  Battle Creek MI 49014,Post Foods,42.311006,-85.172041,75,,,Normal Geofence
36812665,3001 MOUNTAIN PASS BLVD  ANTHONY TX 79821,Gas 724,31.996957,-106.580137,75,,,Normal Geofence
36812666,4231 CLEARWATER ROAD  ST. CLOUD MN 56301,Gas 134,45.496331,-94.148985,75,,,Normal Geofence
36812667,1501 NORTH JACK TONE ROAD  RIPON CA 95366,Gas 618,37.755764,-121.143315,75,,,Normal Geofence
36812668,8787 SOUTH LANCASTER ROAD  DALLAS TX 75241,Gas 433,32.642302,-96.780018,75,,,Normal Geofence
36812669,3730 SPEEDWAY DRIVE  FINDLAY OH 45840,Gas 88502,41.086917,-83.657285,75,,,Normal Geofence
36812670,81 Spicer Dr  Gordonsville TN 38563,Graphic Pkg,36.197536,-85.93944,75,,,Normal Geofence
36812671,1800  PRINCETON-KENLY ROA D KENLY NC 27542,Gas 683,35.573974,-78.146823,75,,,Normal Geofence
36812672,7859 SOUTH HARLEM AVENUE  BURBANK IL 60459,Gas 87422,41.748853,-87.799042,75,,,Normal Geofence
36812673,15919 NORTH FREEWAY  HOUSTON TX 77090,Gas 729,29.999216,-95.427648,75,,,Normal Geofence
36812674,5219 BRECKSVILLE ROAD  RICHFIELD OH 44286,Gas 130,41.276203,-81.625771,75,,,Normal Geofence
36812675,639 STATE HIGHWAY 75 NORT H HUNTSVILLE TX 77320,Gas 234,30.737512,-95.594162,75,,,Normal Geofence
36812676,2311 JACKSBORO HIGHWAY  WICHITA FALLS TX 76301,Gas 741,33.890222,-98.483046,75,,,Normal Geofence
36812677,6109 US 43 SOUTH  SATSUMA AL 36572,Gas 75,30.872887,-88.04652,75,,,Normal Geofence
36812678,414 E Hudson Ave  Royal Oak MI 48067,Royal Oak Waste,42.480948,-83.139604,75,,,Normal Geofence
36812679,700 E Industrial Dr  Terre Haute IN 47802,Staples DC,39.344753,-87.407012,75,,,Normal Geofence
36812680,979 E PAIGE AVE  TULARE CA 93274,Gas 1071,36.180234,-119.333424,75,,,Normal Geofence
36812681,851 2nd St  Perrysburg OH 43551,Ampoint,41.590159,-83.54616,75,,,Normal Geofence
36812682,238 Fritz Keiper Blvd  Battle Creek MI 49037,Denso Air Systems,42.334902,-85.29234,75,,,Normal Geofence
36812683,5015 52nd St SE  Cascade MI 49512,Recycling Concepts,42.8699,-85.542712,75,,,Normal Geofence
36812684,4801 NE 122ND ST.  EDMOND OK 73013,Gas 704,35.595523,-97.437121,75,,,Normal Geofence
36812685,1406 OH-97  Mansfield OH 44904,Next Generation Films,40.6708,-82.562543,75,,,Normal Geofence
36812686,2845 Dormax St SW  Grandville MI 49418,Columbian - Dixie,42.911824,-85.735457,75,,,Normal Geofence
36812687,750 BAKER ROAD  DEXTER MI 48130,Gas 21,42.300875,-83.875464,75,,,Normal Geofence
36812688,8895 Innovation Campus New Albany OH 43054,"Accel New Albany, OH",40.088859,-82.748806,75,,,Normal Geofence
36812689,602 8TH AVENUE NORTH  COLUMBUS MT 59019,Gas 906,45.644974,-109.246646,75,,,Normal Geofence
36812690,509 SOUTH DORT HIGHWAY  FLINT MI 48503,Gas 88748,43.021957,-83.65421,75,,,Normal Geofence
36812691,561 BUSINESS HUB ROAD  BELGRADE MT 59714,Gas 1013,45.774481,-111.199555,75,,,Normal Geofence
36812692,7940 BROOKVILLE ROAD  INDIANAPOLIS IN 46239,Gas 83766,39.750766,-86.026944,75,,,Normal Geofence
36812693,42810 FRAZIER MOUNTAIN PA RK RD LEBEC CA 93243,Gas 616,34.816394,-118.888078,75,,,Normal Geofence
36812694,38980 N GREEN BAY ROAD  BEACH PARK IL 60087,Gas 84440,42.428079,-87.876992,75,,,Normal Geofence
36812695,Bennett St  Marion OH 43302,Graphic Pkg  - Marion,40.585817,-83.153812,75,,,Normal Geofence
36812696,4304 FIRST AVENUE  NITRO WV 25143,Gas 243,38.443553,-81.830786,75,,,Normal Geofence
36812697,8064 ROUTE 22  NEW ALEXANDRIA PA 15670,Gas 82929,40.395824,-79.442435,75,,,Normal Geofence
36812698,I-10 EXIT 1 FRONTAGE ROAD N. BOX 801 EHRENBERG AZ 85334,Gas 608,33.602133,-114.523475,75,,,Normal Geofence
36812699,170 Grand Trunk Ave  Battle Creek MI 49037,WestRock,42.322653,-85.202764,75,,,Normal Geofence
36812700,310 CORDELE ROAD  ALBANY GA 31705,Gas 260,31.581176,-84.085773,75,,,Normal Geofence
36812701,3634 NORTH VALLEY PIKE  HARRISONBURG VA 22802,Gas 491,38.480132,-78.818465,75,,,Normal Geofence
36812702,Ann Arbor MI 48103,FCR,42.247586,-83.826088,75,,,Normal Geofence
36812703,251 Airport Rd  North Aurora IL 60542,PERFTECH,41.798706,-88.327975,75,,,Normal Geofence
36812704,480 TRUCK INN WAY  FERNLEY NV 89408,Gas 1005,39.614639,-119.216686,75,,,Normal Geofence
